isbn,title,author,year
031632468X,Frog Music,Emma Donoghue,2014
0586217835,Magician,Raymond E. Feist,1982
0345388666,The Shining Ones,David Eddings,1993
0751504386,Skeleton Crew,Stephen King,1985
1595542779,Skin,Ted Dekker,2006
0505527847,Trouble in Mudbug,Jana Deleon,2009
1414334095,Her Daughter's Dream,Francine Rivers,2010
0670020559,The Magicians,Lev Grossman,2009
0446602213,"Morning, Noon & Night",Sidney Sheldon,1995
0345515633,Last to Die,Tess Gerritsen,2012
0345460065,The Romanov Prophecy,Steve Berry,2004
0061836923,Moonlight Mile ,Dennis Lehane,2010
0752860550,Sepulchre,Kate Mosse,2007
1849234752,Rock Chick Rescue,Kristen Ashley,2009
0062284835,Fracture Me,Tahereh Mafi,2013
0553376055,How I Live Now,Meg Rosoff,2004
0743223136,John Adams,David McCullough,2001
0312364083,Firefly Lane,Kristin Hannah,2008
0439023513,Mockingjay,Suzanne Collins,2010
0425067823,Elephants Can Remember,Agatha Christie,1972
0758216416,Succubus Blues,Richelle Mead,2007
0316024643,Cross Country,James Patterson,2008
0142401447,The Pearls of Lutra,Brian Jacques,1996
1416549978,The Broken Window,Jeffery Deaver,2008
0413771164,The Truth,Terry Pratchett,2000
1439102414,Flash and Bones,Kathy Reichs,2011
0140013083,The Chrysalids,John Wyndham,1955
1620610078,Obsidian,Jennifer L. Armentrout,2011
1250077699,The Sound of Gravel,Ruth Wariner,2016
0060744871,The Pursuit of Happyness,Chris Gardner,2006
0385333900,Jailbird,Kurt Vonnegut Jr.,1979
0060513098,Falling Up,Shel Silverstein,1996
1416975888,Clockwork Prince,Cassandra Clare,2011
0345347951,Childhood's End,Arthur C. Clarke,1953
0385735294,The Sorceress,Michael Scott,2009
1936305623,Gabriel's Inferno,Sylvain Reynard,2011
0060739428,"Catherine, Called Birdy",Karen Cushman,1994
0143417231,Can Love Happen Twice?,Ravinder Singh,2011
0385342020,Twenties Girl,Sophie Kinsella,2009
0345418417,The Ringworld Engineers ,Larry Niven,1979
1423134494,Bloody Valentine,Melissa de la Cruz,2010
0553805487,Garden Spells,Sarah Addison Allen,2007
0743281640,Chasing Darkness,Robert Crais,2008
0316009857,Keeping You a Secret,Julie Anne Peters,2007
0812508440,The White Rose,Glen Cook,1985
034525855X,A Spell for Chameleon,Piers Anthony,1977
0553813145,Midnight Tides,Steven Erikson,2004
0786890754,"PS, I Love You",Cecelia Ahern,2003
0060598328,The Saving Graces,Patricia Gaffney,1999
0765343436,Daughter of the Forest,Juliet Marillier,1999
0515121843,Sea Swept,Nora Roberts,1998
0450040186,The Shining,Stephen King,1977
0770430074,Life of Pi,Yann Martel,2001
0385739141,Torment,Lauren Kate,2010
0385542070,Nutshell,Ian McEwan,2016
1423104870,The Wizard Heir,Cinda Williams Chima,2007
0692572031,Big Rock,Lauren Blakely,2016
0671729454,If There Be Thorns,V.C. Andrews,1981
0345503813,The Desert Spear,Peter V. Brett,2010
1101946342,Grey,E.L. James,2015
0553804804,Brother Odd,Dean Koontz,2006
0061284203,Into the Wild,Erin Hunter,2003
0061726834,Delirium,Lauren Oliver,2011
0886774268,Magic's Price,Mercedes Lackey,1990
8129115301,Two States,Chetan Bhagat,2009
0345418425,Footfall,"Larry Niven, Jerry Pournelle",1985
0375706410,Waiting,Ha Jin,1999
1599906953,Throne of Glass,Sarah J. Maas,2012
0553805460,The Wolf of Wall Street,Jordan Belfort,2007
0425189031,Portrait in Death,J.D. Robb,2003
0399150862,The Cove,Catherine Coulter,1996
1590385810,Fablehaven,Brandon Mull,2006
0307269760,Too Much Happiness,Alice Munro,2009
0671027638,The Fuck-Up,Arthur Nersesian,1997
0345481291,Throne of Jade,Naomi Novik,2006
0440225442,One False Move,Harlan Coben,1998
0312941919,Trunk Music,Michael Connelly,1997
1606841750,Monsters,Ilsa J. Bick,2011
0385743602,Calamity,Brandon Sanderson,2016
0060935499,Amadeus,Peter Shaffer,1979
0446610178,The Sky is Falling,Sidney Sheldon,2000
0671578855,A Civil Campaign,Lois McMaster Bujold,1999
0425267040,Rush,Maya Banks,2013
0316166294,The Brass Verdict,Michael Connelly,2008
1250019672,Ladies' Night ,Mary Kay Andrews,2013
0440226708,The Incredible Journey,Sheila Burnford,1960
0312554192,Where We Belong,Emily Giffin,2012
0804188246,Ruby,Cynthia Bond,2014
1439166641,Galveston,Nic Pizzolatto,2004
0515144665,The Pagan Stone,Nora Roberts,2008
0749934395,Seduction in Death,J.D. Robb,2001
1937248097,The Duchess War,Courtney Milan,2012
068987121X,"Over Sea, Under Stone",Susan Cooper,1965
0425267083,Burn,Maya Banks,2013
0812992792,The Orphan Master's Son,Adam Johnson,2012
0399162437,The Last Star,Rick Yancey,2016
0062317148,The Guard,Kiera Cass,2014
0316097527,"Alex Cross, Run",James Patterson,2013
0753510995,"Screw It, Let's Do It",Richard Branson,2006
0062194720,The Revenge of Seven,Pittacus Lore,2014
0140042520,The Dharma Bums,Jack Kerouac,1958
0441010288,The Lost Years of Merlin,T.A. Barron,1996
0399162593,Fish In A Tree,Lynda Mullaly Hunt,2015
0142401102,A Long Way From Chicago,Richard Peck,1998
0345313151,Bearing an Hourglass,Piers Anthony,1984
1616149981,The Life We Bury,Allen Eskens,2014
0007191324,The Winter Rose,Jennifer Donnelly,2008
0399155015,Moscow Rules,Daniel Silva,2008
0441627404,The Once and Future King,T.H. White,1958
1933718552,Ashfall,Mike Mullin,2011
0140260706,Equus : a play,Peter Shaffer,1973
0099549344,Warm Bodies,Isaac Marion,2010
0140230270,Harvesting the Heart,Jodi Picoult,1993
0061138061,Pale Demon,Kim Harrison,2011
1416505016,Consent to Kill,Vince Flynn,2005
0552152951,Reaper Man,Terry Pratchett,1991
1439102724,Sing You Home,Jodi Picoult,2011
0312426232,The Brooklyn Follies,Paul Auster,2005
0765357054,The Keep ,F. Paul Wilson,1981
067001821X,People of the Book,Geraldine Brooks,2008
1250060559,Fairest,Marissa Meyer,2015
0061668060,Spells,Aprilynne Pike,2009
1414336241,The Auschwitz Escape,Joel C. Rosenberg,2014
0553589458,The Survivors Club,Lisa Gardner,2002
0061094145,Imajica,Clive Barker,1991
0446608815,Pop Goes the Weasel,James Patterson,1999
0142501107,Lord Brocktree,Brian Jacques,2000
042520992X,Whispers,Dean Koontz,1980
1400033446,Tar Baby,Toni Morrison,1981
0141043768,What Alice Forgot,Liane Moriarty,2009
0345443284,While I Was Gone,Sue Miller,1998
0553392921,Fool's Quest,Robin Hobb,2015
0140086838,Ceremony,Leslie Marmon Silko,1977
0062235672,On the Fence,Kasie West,2014
0064472795,Princess in the Spotlight,Meg Cabot,2001
0399256776,Champion,Marie Lu,2013
0061692042,Canada,Richard Ford,2012
043933909X,Stone Soup,Jon J. Muth,2003
1442430001,Rebel Heart,Moira Young,2012
0307119394,I Was So Mad (Look-Look),Mercer Mayer,1983
0756403014,Dragon Prince,Melanie Rawn,1985
0395137195,The Bronze Bow,Elizabeth George Speare,1961
147679250X,After We Fell,Anna Todd,2014
0316051594,Twenty Boy Summer,Sarah Ockler,2009
0340881542,Class A (Cherub #2),Robert Muchamore,2004
1921351438,Dreams from My Father,Barack Obama,1995
0061583227,First Drop of Crimson,Jeaniene Frost,2010
1416532358,Ricochet,Sandra Brown,2006
0778324516,Back on Blossom Street,Debbie Macomber,2007
1565126297,When She Woke,Hillary Jordan,2011
0425099334,Shattered,"K.R. Dwyer, Dean Koontz",1973
0451225090,The House On Tradd Street,Karen   White,2008
0062280678,Dorothy Must Die,Danielle  Paige,2014
0553382616,The Shelters of Stone,Jean M. Auel,2002
0060887370,Perfect,Sara Shepard,2007
0385733410,Rebel Angels,Libba Bray,2005
0312986343,Visions of Sugar Plums,Janet Evanovich,2002
0679732268,Light in August,William Faulkner,1932
1892295490,Heart of Darkness,Joseph Conrad,1899
0451209435,Fear of Flying,Erica Jong,1973
0345454944,Sunset Express,Robert Crais,1996
0060548258,The Crystal Cave,Mary  Stewart,1970
031236847X,Sweetheart,Chelsea Cain,2008
0688114490,Owen,Kevin Henkes,1993
0399154701,Strangers in Death ,J.D. Robb,2008
0991686004,Ten Tiny Breaths,K.A. Tucker,2012
1587672286,Blockade Billy,Stephen King,2010
0743290119,Chasing Harry Winston,Lauren Weisberger,2008
0767912276,To Have and to Hold ,Jane Green,2002
0373777922,The Best Man,Kristan Higgins,2013
0307595129,Maine,J. Courtney Sullivan,2011
0316018953,The Overlook,Michael Connelly,2007
0767912241,Babyville,Jane Green,2001
0978970764,John Dies at the End,David Wong,2007
0380712040,Black Cherry Blues,James Lee Burke,1989
0758216424,Succubus On Top,Richelle Mead,2008
0312360401,Honolulu,Alan Brennert,2009
0142401757,Dreamland ,Sarah Dessen,2000
0345505719,Victims,Jonathan Kellerman,2012
0316084220,A Midsummer's Nightmare,Kody Keplinger,2012
0099578514,Midnight's Children,Salman Rushdie,1981
1250091845,Stars Above,Marissa Meyer,2016
1423140591,The Son of Neptune ,Rick Riordan,2011
055358359X,Prior Bad Acts,Tami Hoag,2006
0345484274,Angel Falls,Kristin Hannah,2000
0451933028,The Green Mile,Stephen King,1996
0553248642,The Haj,Leon Uris,1984
0812517725,The Great Hunt,Robert Jordan,1990
0142408786,Double Fudge,Judy Blume,2002
1400068320,Eligible,Curtis Sittenfeld,2016
0316012823,One Good Turn,Kate Atkinson,2006
0451219945,Glass Houses,Rachel Caine,2006
1250022088,The Nature of the Beast,Louise Penny,2015
0553282093,The Gemini Contenders,Robert Ludlum,1976
0440212812,Lost Souls,Poppy Z. Brite,1992
0743454537,My Sister's Keeper,Jodi Picoult,2004
0307588920,Think of a Number,John Verdon,2010
0375701907,Straight Man,Richard Russo,1997
0553277405,Night Probe!,Clive Cussler,1981
0373210582,Alice in Zombieland,Gena Showalter,2012
0670018708,City of Thieves,David Benioff,2008
0425204693,From Potter's Field,Patricia Cornwell,1995
0812550706,Ender's Game,Orson Scott Card,1985
0743442849,Addicted,Zane,1998
1416509879,A Hunger Like No Other,Kresley Cole,2006
0061148512,The Bell Jar,Sylvia Plath,1963
0671744216,The Secret,Julie Garwood,1992
0375814701,Mastiff,Tamora Pierce,2011
0399148701,Red Rabbit,Tom Clancy,2002
1466867507,Cometh the Hour,Jeffrey Archer,2016
0743265025,The Starter Wife,Gigi Levangie Grazer,2005
0156031566,The Places In Between,Rory Stewart,2004
0345335708,Castle of Wizardry,David Eddings,1984
0316123404,Surface Detail,Iain M. Banks,2010
0739465511,The Lincoln Lawyer ,Michael Connelly,2005
1599904780,Princess of Glass,Jessica Day George,2010
0316068047,The Host,Stephenie Meyer,2008
042519485X,Undead and Unwed,MaryJanice Davidson,2004
1411608313,Day by Day Armageddon,J.L. Bourne,2004
0345475836,Gateway,Frederik Pohl,1977
0552148032,King of the Murgos,David Eddings,1988
144242673X,P.S. I Still Love You,Jenny Han,2015
0727853414,Exit to Eden,"Anne Rampling, Anne Rice",1985
0310247535,Even Now,Karen Kingsbury,2005
0440229081,Skellig,David Almond,1998
0330369032,Lucky You,Carl Hiaasen,1991
1451629184,A Stolen Life,Jaycee Dugard,2011
0060256656,The Giving Tree,Shel Silverstein,1964
0062059939,The Selection,Kiera Cass,2012
0140283331,Lord of the Flies ,William Golding,1954
0399169520,My Sunshine Away,M.O. Walsh,2015
0064473457,Castle in the Air,Diana Wynne Jones,1990
0812984277,Wedding Night,Sophie Kinsella,2013
1442409096,Sever,Lauren DeStefano,2013
0553295411,Fire Sea,"Margaret Weis, Tracy Hickman",1991
0312364423,Night Road,Kristin Hannah,2011
0425214435,Eyes of Prey,John Sandford,1991
0425213978,Labyrinth,Kate Mosse,2005
1849231842,Rock Chick,Kristen Ashley,2008
0007120680,Hallowe'en Party,Agatha Christie,1969
0441013813,Moon Called,Patricia Briggs,2006
0451461037,Proven Guilty,Jim Butcher,2006
0743466527,Fall on Your Knees,Ann-Marie MacDonald,1996
0142001821,The Passion of Artemisia,Susan Vreeland,2001
1402262272,Catching Jordan,Miranda Kenneally,2011
1931514607,Paradise Kiss 1,Ai Yazawa,2000
0671027581,Open Season,Linda Howard,2001
0441172695,Dune Messiah ,Frank Herbert,1969
1401324436,Heat Rises,Richard Castle,2011
0743294270,Fly Away Home,Jennifer Weiner,2010
0441783589,Starship Troopers,Robert A. Heinlein,1959
1937053164,Apollyon,Jennifer L. Armentrout,2013
067172939X,Dark Angel,V.C. Andrews,1986
006079156X,The Space Between Us,Thrity Umrigar,2006
1402284314,The Paris Architect,Charles Belfoure,2013
0385351399,The Circle,Dave Eggers,2013
0451224639,Feast of Fools,Rachel Caine,2008
0439796636,War Horse,Michael Morpurgo,1982
0061433012,Nation,Terry Pratchett,2008
0553573764,Mariana,Susanna Kearsley,1994
0062430874,Pretty Girls,Karin Slaughter,2015
0060786469,Love Medicine,Louise Erdrich,1984
0312369506,Devil May Cry,Sherrilyn Kenyon,2007
192076920X,Shantaram,Gregory David Roberts,2003
0553266306,The Day of the Jackal,Frederick Forsyth,1971
1857984986,The Stainless Steel Rat,Harry Harrison,1961
0552992097,The Hotel New Hampshire,John Irving,1981
0679753338,Nobody's Fool,Richard Russo,1993
1414368186,Bridge to Haven,Francine Rivers,2014
0061120073,A Tree Grows In Brooklyn ,Betty  Smith,1943
0060590319,Fool,Christopher Moore,2009
0544303164,The Turner House,Angela Flournoy,2015
000748805X,You Had Me At Hello,Mhairi McFarlane,2012
0451458125,Fool Moon ,Jim Butcher,2001
0425201449,The Body Farm,Patricia Cornwell,1994
0743437314,The Merchant of Death,D.J. MacHale,2002
0141014083,The Complete Maus,Art Spiegelman,1986
0399154345,High Noon,Nora Roberts,2007
0060512148,Angels,Marian Keyes,2002
0689846231,The Yearling,Marjorie Kinnan Rawlings,1930
0060724552,Party Princess,Meg Cabot,2006
0312546564,No Mercy,Sherrilyn Kenyon,2010
023070395X,Rhett Butler's People,Donald McCaig,2007
0449221490,L is for Lawless,Sue Grafton,1994
0689857705,Rainbow Boys,Alex   Sanchez,2001
0446350982,Presumed Innocent,Scott Turow,1986
1400080665,Thunderstruck,Erik Larson,2006
080508052X,The High King ,Lloyd Alexander,1968
1455503258,The Astronaut Wives Club,Lily Koppel,2013
0764200119,When Calls the Heart,Janette Oke,1983
0060988649,Lost,"Gregory Maguire, Douglas Smith",2001
0330369954,Underworld,Don DeLillo,1997
0756402697,The Dragonbone Chair,Tad Williams,1988
0684853159,The Wasp Factory,Iain Banks,1984
0446614459,Split Second,David Baldacci,2003
1442435003,Since You've Been Gone,Morgan Matson,2014
0671876465,Mirror Dance,Lois McMaster Bujold,1994
0670021474,Angelology,Danielle Trussoni,2010
0316074152,Blameless,Gail Carriger,2010
0156030373,L'isola del giorno prima,Umberto Eco,1994
0142002054,Diamonds are Forever,Ian Fleming,1956
0062076116,Up From the Grave ,Jeaniene Frost,2014
1841493341,Singularity Sky,Charles Stross,2003
0451217454,Waiting to Exhale,Terry McMillan,1992
1580495869,The Red Badge of Courage,Stephen Crane,1871
1841497975,River Marked,Patricia Briggs,2011
0553381342,The Bonfire of the Vanities,Tom Wolfe,1987
0345807952,Mad About the Boy,Helen Fielding,2013
0765354063,The Ghost Brigades,John Scalzi,2006
0441013465,Another Fine Myth,Robert Lynn Asprin,1978
0312656289,Heaven,Alexandra Adornetto,2012
0441015271,Captain's Fury,Jim Butcher,2007
1416974520,"Night World, No. 3",L.J. Smith,2009
1476731535,Beautiful Stranger,Christina Lauren,2013
0345496876,Empire of Ivory,Naomi Novik,2007
039515023X,Curious George,H.A. Rey,1941
0064440206,Frog and Toad Are Friends,Arnold Lobel,1970
0689865384,Uglies,Scott Westerfeld,2005
0553582461,Fool's Fate,Robin Hobb,2003
0061138010,"White Witch, Black Curse",Kim Harrison,2009
0446604844,Total Control,David Baldacci,1996
0449213447,The Chosen,Chaim Potok,1967
0684815001,Nachfolge,Dietrich Bonhoeffer,1937
0142002070,"From Russia, with Love",Ian Fleming,1957
0547152604,Okay for Now,Gary D. Schmidt,2011
0375724370,Anil's Ghost,Michael Ondaatje,2000
0316036196,Fang,James Patterson,2010
8176210773,You Can Heal Your Life,Louise L. Hay,1984
184243022X,Still Life with Woodpecker,Tom Robbins,1980
1434764338,Waterfall,Lisa Tawn Bergren,2011
1937053148,Deity,Jennifer L. Armentrout,2012
0307596850,Girls in White Dresses,Jennifer Close,2011
1500607533,Debt Inheritance,Pepper Winters,2014
0553582747,From the Corner of His Eye,Dean Koontz,2000
0060959037,Prodigal Summer,Barbara Kingsolver,2000
1560974273,Ghost World,Daniel Clowes,1998
0812968972,The Birth of Venus,Sarah Dunant,2003
0312934327,Sins of the Night,Sherrilyn Kenyon,2005
0399156577,The Search,Nora Roberts,2010
0743271327,Brokeback Mountain,Annie Proulx,1997
0425198731,Blow Fly,Patricia Cornwell,2003
1439102759,Lone Wolf,Jodi Picoult,2012
0061996181,Hallowed,Cynthia Hand,2012
0199291152,The Selfish Gene,Richard Dawkins,1976
0345496574,The Evolutionary Void,Peter F. Hamilton,2009
0451461894,Small Favor,Jim Butcher,2008
0575077026,Ringworld,Larry Niven,1970
1594200823,The Omnivore's Dilemma,Michael Pollan,2006
0380803267,King of Foxes,Raymond E. Feist,2003
0439858054,The Other Side of Dawn,John Marsden,1999
031612611X,The Diviners,Libba Bray,2012
059039696X,Shatterglass,Tamora Pierce,2003
0446603775,Dawn,Octavia E. Butler,1987
0330418874,Boy Meets Girl,Meg Cabot,2004
0099465639,The Grand Sophy,Georgette Heyer,1950
0451188462,Desperation,Stephen King,1996
0547251270,A Long Walk to Water,Linda Sue Park,2010
0671877836,Honor Among Enemies,David Weber,1996
0316187712,Heir of Novron,Michael J. Sullivan,2012
0440236738,Gone for Good,Harlan Coben,2002
0385341962,Genesis,Karin Slaughter,2009
0689840926,Hatchet,Gary Paulsen,1986
0441017150,Dead and Gone,Charlaine Harris,2009
0312370156,The Compound,S.A. Bodeen,2008
0763655988,I Want My Hat Back,Jon Klassen,2011
0060838728,Bel Canto,Ann Patchett,2001
0718154959,Blue Monday,Nicci French,2011
0743294386,Devil Bones,Kathy Reichs,2008
1414310560,The Negotiator,Dee Henderson,2000
061870986X,In the Lake of the Woods,Tim O'Brien,1994
034553364X,Trapped ,Kevin Hearne,2012
0743299841,Day After Night,Anita Diamant,2009
0399155341,The Help,Kathryn Stockett,2009
0451463722,Mercy Blade,Faith Hunter,2011
1573226521,The Beach,Alex Garland,1996
1250014522,Calling Me Home,Julie Kibler,2012
0803738552,Counting by 7s,Holly Goldberg Sloan,2013
0142000655,East of Eden  ,John Steinbeck,1952
0385341636,Faefever,Karen Marie Moning,2008
0670061050,Just Listen,Sarah Dessen,2006
0312424094,Housekeeping,Marilynne Robinson,1980
0141439882,Cranford,Elizabeth Gaskell,1853
0451211472,Night over Water,Ken Follett,1991
0061767581,L.A. Candy,Lauren Conrad,2009
0553582933,Winter Moon,Dean Koontz,1993
0446500038,Kushiel's Justice,Jacqueline Carey,2007
